index,split,gated_image,depth_image,class_ids,class_names,models,positions
123,train,train/gated_range_view/0123_c2_research_platform.png,train/depth_camera_rgb/0123_c2_research_platform.png,2,research_platform,research_platform,"research_platform:34.04,-6.33,2.00,-0.31"
124,train,train/gated_range_view/0124_c1+3_service_boat+small_fishing_boat.png,train/depth_camera_rgb/0124_c1+3_service_boat+small_fishing_boat.png,1+3,service_boat+fishing_boat,service_boat+small_fishing_boat,"service_boat:22.15,-3.72,0.38,1.38;small_fishing_boat:13.75,0.97,0.34,-0.56"
125,val,val/gated_range_view/0125_c1_service_boat.png,val/depth_camera_rgb/0125_c1_service_boat.png,1,service_boat,service_boat,"service_boat:26.45,-3.77,0.38,-0.11"
126,train,train/gated_range_view/0126_c3_survey_boat.png,train/depth_camera_rgb/0126_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:23.24,-1.08,0.36,2.29"
127,train,train/gated_range_view/0127_c3+2_small_fishing_boat+research_platform.png,train/depth_camera_rgb/0127_c3+2_small_fishing_boat+research_platform.png,3+2,fishing_boat+research_platform,small_fishing_boat+research_platform,"small_fishing_boat:23.73,-1.46,0.34,3.44;research_platform:30.66,1.67,2.00,-0.12"
128,train,train/gated_range_view/0128_c3_small_fishing_boat.png,train/depth_camera_rgb/0128_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:25.73,5.47,0.34,2.65"
129,train,train/gated_range_view/0129_c3+2_survey_boat+research_platform.png,train/depth_camera_rgb/0129_c3+2_survey_boat+research_platform.png,3+2,fishing_boat+research_platform,survey_boat+research_platform,"survey_boat:28.53,-0.58,0.36,0.37;research_platform:43.13,6.57,2.00,-1.40"
130,val,val/gated_range_view/0130_c3_small_fishing_boat.png,val/depth_camera_rgb/0130_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:33.42,-6.59,0.34,2.72"
131,train,train/gated_range_view/0131_c0_moving_vessel.png,train/depth_camera_rgb/0131_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:13.08,-0.92,0.42,2.98"
132,train,train/gated_range_view/0132_c3_survey_boat.png,train/depth_camera_rgb/0132_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:17.55,-1.03,0.36,-0.73"
133,train,train/gated_range_view/0133_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0133_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:12.30,-2.57,0.38,0.22;moving_vessel:19.79,3.59,0.42,1.25"
134,train,train/gated_range_view/0134_c3_small_fishing_boat.png,train/depth_camera_rgb/0134_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:32.37,2.87,0.34,3.18"
135,val,val/gated_range_view/0135_c2_research_platform.png,val/depth_camera_rgb/0135_c2_research_platform.png,2,research_platform,research_platform,"research_platform:19.47,-2.46,2.00,2.56"
136,train,train/gated_range_view/0136_c1_service_boat.png,train/depth_camera_rgb/0136_c1_service_boat.png,1,service_boat,service_boat,"service_boat:27.37,0.89,0.38,1.76"
137,train,train/gated_range_view/0137_c3+5_survey_boat+fishnet_buoy.png,train/depth_camera_rgb/0137_c3+5_survey_boat+fishnet_buoy.png,3+5,fishing_boat+obstacle,survey_boat+fishnet_buoy,"survey_boat:28.64,-2.69,0.36,1.00;fishnet_buoy:29.54,3.58,0.30,1.78"
138,train,train/gated_range_view/0138_c1+5_service_boat+fishnet_buoy.png,train/depth_camera_rgb/0138_c1+5_service_boat+fishnet_buoy.png,1+5,service_boat+obstacle,service_boat+fishnet_buoy,"service_boat:21.88,-4.75,0.38,0.30;fishnet_buoy:22.18,1.61,0.30,3.21"
139,train,train/gated_range_view/0139_c3+0_small_fishing_boat+moving_vessel.png,train/depth_camera_rgb/0139_c3+0_small_fishing_boat+moving_vessel.png,3+0,fishing_boat+moving_vessel,small_fishing_boat+moving_vessel,"small_fishing_boat:16.16,-2.77,0.34,2.73;moving_vessel:15.79,1.06,0.42,-2.64"
140,val,val/gated_range_view/0140_c3_small_fishing_boat.png,val/depth_camera_rgb/0140_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:23.77,-3.16,0.34,2.15"
141,train,train/gated_range_view/0141_c0+2_moving_vessel+research_platform.png,train/depth_camera_rgb/0141_c0+2_moving_vessel+research_platform.png,0+2,moving_vessel+research_platform,moving_vessel+research_platform,"moving_vessel:18.96,-2.62,0.42,-2.24;research_platform:33.50,2.42,2.00,-2.34"
142,train,train/gated_range_view/0142_c0_moving_vessel.png,train/depth_camera_rgb/0142_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:34.75,-1.05,0.42,0.66"
143,train,train/gated_range_view/0143_c0_moving_vessel.png,train/depth_camera_rgb/0143_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:34.68,-1.26,0.42,1.89"
144,train,train/gated_range_view/0144_c2_research_platform.png,train/depth_camera_rgb/0144_c2_research_platform.png,2,research_platform,research_platform,"research_platform:33.84,5.09,2.00,3.03"
145,val,val/gated_range_view/0145_c1_service_boat.png,val/depth_camera_rgb/0145_c1_service_boat.png,1,service_boat,service_boat,"service_boat:29.70,5.56,0.38,2.87"
146,train,train/gated_range_view/0146_c0_moving_vessel.png,train/depth_camera_rgb/0146_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:28.75,3.31,0.42,0.73"
147,train,train/gated_range_view/0147_c3_small_fishing_boat.png,train/depth_camera_rgb/0147_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:13.44,-2.45,0.34,-1.59"
148,train,train/gated_range_view/0148_c3_small_fishing_boat.png,train/depth_camera_rgb/0148_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:25.10,-2.87,0.34,-1.77"
149,train,train/gated_range_view/0149_c1_service_boat.png,train/depth_camera_rgb/0149_c1_service_boat.png,1,service_boat,service_boat,"service_boat:28.02,6.04,0.38,-2.05"
150,val,val/gated_range_view/0150_c1_service_boat.png,val/depth_camera_rgb/0150_c1_service_boat.png,1,service_boat,service_boat,"service_boat:30.50,5.40,0.38,-0.19"
151,train,train/gated_range_view/0151_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0151_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:29.00,-2.59,0.38,-0.21;moving_vessel:42.42,6.10,0.42,0.08"
152,train,train/gated_range_view/0152_c3_small_fishing_boat.png,train/depth_camera_rgb/0152_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:31.54,1.67,0.34,-2.59"
153,train,train/gated_range_view/0153_c3_small_fishing_boat.png,train/depth_camera_rgb/0153_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:15.93,-0.58,0.34,1.35"
154,train,train/gated_range_view/0154_c0_moving_vessel.png,train/depth_camera_rgb/0154_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:21.84,-2.87,0.42,1.76"
155,val,val/gated_range_view/0155_c5_fishnet_buoy.png,val/depth_camera_rgb/0155_c5_fishnet_buoy.png,5,obstacle,fishnet_buoy,"fishnet_buoy:21.46,-4.62,0.30,0.28"
156,train,train/gated_range_view/0156_c0_moving_vessel.png,train/depth_camera_rgb/0156_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:22.54,-1.98,0.42,0.61"
157,train,train/gated_range_view/0157_c3+1_small_fishing_boat+service_boat.png,train/depth_camera_rgb/0157_c3+1_small_fishing_boat+service_boat.png,3+1,fishing_boat+service_boat,small_fishing_boat+service_boat,"small_fishing_boat:29.72,-1.32,0.34,0.10;service_boat:18.57,1.40,0.38,1.34"
158,train,train/gated_range_view/0158_c0_moving_vessel.png,train/depth_camera_rgb/0158_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:14.85,-2.91,0.42,1.22"
159,train,train/gated_range_view/0159_c0_moving_vessel.png,train/depth_camera_rgb/0159_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:15.16,0.10,0.42,0.13"
160,val,val/gated_range_view/0160_c0_moving_vessel.png,val/depth_camera_rgb/0160_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:20.81,-3.44,0.42,1.70"
161,train,train/gated_range_view/0161_c1+2_service_boat+research_platform.png,train/depth_camera_rgb/0161_c1+2_service_boat+research_platform.png,1+2,service_boat+research_platform,service_boat+research_platform,"service_boat:17.97,-1.54,0.38,0.02;research_platform:53.15,4.69,2.00,-1.92"
162,train,train/gated_range_view/0162_c1+3_service_boat+survey_boat.png,train/depth_camera_rgb/0162_c1+3_service_boat+survey_boat.png,1+3,service_boat+fishing_boat,service_boat+survey_boat,"service_boat:24.59,-0.70,0.38,0.03;survey_boat:27.02,0.71,0.36,-1.97"
163,train,train/gated_range_view/0163_c0+3_moving_vessel+small_fishing_boat.png,train/depth_camera_rgb/0163_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:27.04,-3.02,0.42,0.92;small_fishing_boat:36.30,4.72,0.34,1.40"
164,train,train/gated_range_view/0164_c2_research_platform.png,train/depth_camera_rgb/0164_c2_research_platform.png,2,research_platform,research_platform,"research_platform:37.82,2.49,2.00,3.42"
165,val,val/gated_range_view/0165_c3_small_fishing_boat.png,val/depth_camera_rgb/0165_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:8.76,-0.56,0.34,-0.93"
166,train,train/gated_range_view/0166_c2_research_platform.png,train/depth_camera_rgb/0166_c2_research_platform.png,2,research_platform,research_platform,"research_platform:27.10,-1.70,2.00,-2.85"
167,train,train/gated_range_view/0167_c0_moving_vessel.png,train/depth_camera_rgb/0167_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:22.90,0.59,0.42,1.50"
168,train,train/gated_range_view/0168_c3_survey_boat.png,train/depth_camera_rgb/0168_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:11.60,-2.40,0.36,-0.29"
169,train,train/gated_range_view/0169_c0_moving_vessel.png,train/depth_camera_rgb/0169_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:21.34,-2.29,0.42,-1.97"
170,val,val/gated_range_view/0170_c4+1_anchored_tanker+service_boat.png,val/depth_camera_rgb/0170_c4+1_anchored_tanker+service_boat.png,4+1,ship_far+service_boat,anchored_tanker+service_boat,"anchored_tanker:96.41,-1.44,1.05,3.49;service_boat:38.13,6.39,0.38,2.25"
171,train,train/gated_range_view/0171_c3_small_fishing_boat.png,train/depth_camera_rgb/0171_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:12.93,1.50,0.34,-1.68"
172,train,train/gated_range_view/0172_c1_service_boat.png,train/depth_camera_rgb/0172_c1_service_boat.png,1,service_boat,service_boat,"service_boat:17.78,-0.50,0.38,1.90"
173,train,train/gated_range_view/0173_c2_research_platform.png,train/depth_camera_rgb/0173_c2_research_platform.png,2,research_platform,research_platform,"research_platform:19.63,2.97,2.00,-2.08"
174,train,train/gated_range_view/0174_c4_anchored_tanker.png,train/depth_camera_rgb/0174_c4_anchored_tanker.png,4,ship_far,anchored_tanker,"anchored_tanker:51.87,1.97,1.05,2.99"
175,val,val/gated_range_view/0175_c3_survey_boat.png,val/depth_camera_rgb/0175_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:22.72,0.22,0.36,3.00"
176,train,train/gated_range_view/0176_c0+3_moving_vessel+small_fishing_boat.png,train/depth_camera_rgb/0176_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:19.88,-1.81,0.42,0.65;small_fishing_boat:17.70,1.18,0.34,0.96"
177,train,train/gated_range_view/0177_c2+3_research_platform+small_fishing_boat.png,train/depth_camera_rgb/0177_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:29.85,-2.50,2.00,2.03;small_fishing_boat:22.04,0.84,0.34,-0.27"
178,train,train/gated_range_view/0178_c2_research_platform.png,train/depth_camera_rgb/0178_c2_research_platform.png,2,research_platform,research_platform,"research_platform:22.96,-3.99,2.00,-1.35"
179,train,train/gated_range_view/0179_c3_small_fishing_boat.png,train/depth_camera_rgb/0179_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:24.01,-4.83,0.34,-1.32"
180,val,val/gated_range_view/0180_c0+1_moving_vessel+service_boat.png,val/depth_camera_rgb/0180_c0+1_moving_vessel+service_boat.png,0+1,moving_vessel+service_boat,moving_vessel+service_boat,"moving_vessel:11.64,-1.46,0.42,0.72;service_boat:16.19,0.41,0.38,0.22"
181,train,train/gated_range_view/0181_c3_small_fishing_boat.png,train/depth_camera_rgb/0181_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:16.95,0.29,0.34,1.26"
182,train,train/gated_range_view/0182_c3+2_small_fishing_boat+research_platform.png,train/depth_camera_rgb/0182_c3+2_small_fishing_boat+research_platform.png,3+2,fishing_boat+research_platform,small_fishing_boat+research_platform,"small_fishing_boat:11.30,-1.80,0.34,1.75;research_platform:35.49,0.37,2.00,0.86"
183,train,train/gated_range_view/0183_c3+5_small_fishing_boat+floating_container.png,train/depth_camera_rgb/0183_c3+5_small_fishing_boat+floating_container.png,3+5,fishing_boat+obstacle,small_fishing_boat+floating_container,"small_fishing_boat:22.84,-4.63,0.34,-1.41;floating_container:17.75,0.85,0.28,-2.71"
184,train,train/gated_range_view/0184_c5_fishnet_buoy.png,train/depth_camera_rgb/0184_c5_fishnet_buoy.png,5,obstacle,fishnet_buoy,"fishnet_buoy:26.51,4.93,0.30,-1.41"
185,val,val/gated_range_view/0185_c2+1_research_platform+service_boat.png,val/depth_camera_rgb/0185_c2+1_research_platform+service_boat.png,2+1,research_platform+service_boat,research_platform+service_boat,"research_platform:40.76,-6.11,2.00,2.66;service_boat:26.17,0.99,0.38,-1.63"
186,train,train/gated_range_view/0186_c3_small_fishing_boat.png,train/depth_camera_rgb/0186_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:25.91,5.12,0.34,-1.58"
187,train,train/gated_range_view/0187_c1_service_boat.png,train/depth_camera_rgb/0187_c1_service_boat.png,1,service_boat,service_boat,"service_boat:22.28,0.41,0.38,-1.49"
188,train,train/gated_range_view/0188_c2_research_platform.png,train/depth_camera_rgb/0188_c2_research_platform.png,2,research_platform,research_platform,"research_platform:43.80,-0.01,2.00,2.57"
189,train,train/gated_range_view/0189_c0_moving_vessel.png,train/depth_camera_rgb/0189_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:36.67,4.89,0.42,3.36"
190,val,val/gated_range_view/0190_c0_moving_vessel.png,val/depth_camera_rgb/0190_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:30.14,-4.33,0.42,0.19"
191,train,train/gated_range_view/0191_c2_research_platform.png,train/depth_camera_rgb/0191_c2_research_platform.png,2,research_platform,research_platform,"research_platform:35.37,3.44,2.00,2.47"
192,train,train/gated_range_view/0192_c0_moving_vessel.png,train/depth_camera_rgb/0192_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:20.42,3.84,0.42,0.34"
193,train,train/gated_range_view/0193_c0_moving_vessel.png,train/depth_camera_rgb/0193_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:36.51,6.76,0.42,-3.03"
194,train,train/gated_range_view/0194_c0_moving_vessel.png,train/depth_camera_rgb/0194_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:30.96,-6.38,0.42,0.34"
195,val,val/gated_range_view/0195_c1_service_boat.png,val/depth_camera_rgb/0195_c1_service_boat.png,1,service_boat,service_boat,"service_boat:17.93,1.36,0.38,3.12"
196,train,train/gated_range_view/0196_c1+5_service_boat+floating_container.png,train/depth_camera_rgb/0196_c1+5_service_boat+floating_container.png,1+5,service_boat+obstacle,service_boat+floating_container,"service_boat:23.59,-0.88,0.38,-1.60;floating_container:35.73,1.77,0.28,-2.40"
197,train,train/gated_range_view/0197_c2_research_platform.png,train/depth_camera_rgb/0197_c2_research_platform.png,2,research_platform,research_platform,"research_platform:28.67,-2.87,2.00,-0.80"
198,train,train/gated_range_view/0198_c5_fishnet_buoy.png,train/depth_camera_rgb/0198_c5_fishnet_buoy.png,5,obstacle,fishnet_buoy,"fishnet_buoy:9.90,0.38,0.30,2.09"
199,train,train/gated_range_view/0199_c0_moving_vessel.png,train/depth_camera_rgb/0199_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:13.58,2.03,0.42,-2.08"
200,val,val/gated_range_view/0200_c0_moving_vessel.png,val/depth_camera_rgb/0200_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:33.29,-6.35,0.42,-0.25"
201,train,train/gated_range_view/0201_c3+5_survey_boat+floating_container.png,train/depth_camera_rgb/0201_c3+5_survey_boat+floating_container.png,3+5,fishing_boat+obstacle,survey_boat+floating_container,"survey_boat:16.81,-0.94,0.36,0.99;floating_container:33.52,2.36,0.28,-1.42"
202,train,train/gated_range_view/0202_c2+3_research_platform+small_fishing_boat.png,train/depth_camera_rgb/0202_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:27.63,-1.38,2.00,-0.06;small_fishing_boat:21.44,0.72,0.34,0.89"
203,train,train/gated_range_view/0203_c0_moving_vessel.png,train/depth_camera_rgb/0203_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:18.31,-3.32,0.42,-1.33"
204,train,train/gated_range_view/0204_c1+5_service_boat+fishnet_buoy.png,train/depth_camera_rgb/0204_c1+5_service_boat+fishnet_buoy.png,1+5,service_boat+obstacle,service_boat+fishnet_buoy,"service_boat:24.33,-2.28,0.38,-1.67;fishnet_buoy:17.55,2.73,0.30,-0.15"
205,val,val/gated_range_view/0205_c1_service_boat.png,val/depth_camera_rgb/0205_c1_service_boat.png,1,service_boat,service_boat,"service_boat:23.65,3.85,0.38,2.01"
206,train,train/gated_range_view/0206_c0_moving_vessel.png,train/depth_camera_rgb/0206_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:15.56,-3.18,0.42,-1.69"
207,train,train/gated_range_view/0207_c4_anchored_tanker.png,train/depth_camera_rgb/0207_c4_anchored_tanker.png,4,ship_far,anchored_tanker,"anchored_tanker:67.07,-5.02,1.05,-1.82"
208,train,train/gated_range_view/0208_c1+5_service_boat+fishnet_buoy.png,train/depth_camera_rgb/0208_c1+5_service_boat+fishnet_buoy.png,1+5,service_boat+obstacle,service_boat+fishnet_buoy,"service_boat:34.86,-6.32,0.38,-3.06;fishnet_buoy:32.70,3.88,0.30,0.41"
209,train,train/gated_range_view/0209_c3_survey_boat.png,train/depth_camera_rgb/0209_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:20.11,-1.53,0.36,1.50"
210,val,val/gated_range_view/0210_c1+3_service_boat+survey_boat.png,val/depth_camera_rgb/0210_c1+3_service_boat+survey_boat.png,1+3,service_boat+fishing_boat,service_boat+survey_boat,"service_boat:20.06,-1.86,0.38,2.89;survey_boat:38.10,5.41,0.36,-1.80"
211,train,train/gated_range_view/0211_c3_survey_boat.png,train/depth_camera_rgb/0211_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:35.76,6.12,0.36,1.88"
212,train,train/gated_range_view/0212_c1_service_boat.png,train/depth_camera_rgb/0212_c1_service_boat.png,1,service_boat,service_boat,"service_boat:15.04,0.93,0.38,0.88"
213,train,train/gated_range_view/0213_c4_cargo_ship_far.png,train/depth_camera_rgb/0213_c4_cargo_ship_far.png,4,ship_far,cargo_ship_far,"cargo_ship_far:50.21,-1.55,1.05,3.00"
214,train,train/gated_range_view/0214_c1_service_boat.png,train/depth_camera_rgb/0214_c1_service_boat.png,1,service_boat,service_boat,"service_boat:31.10,4.73,0.38,-1.47"
215,val,val/gated_range_view/0215_c2_research_platform.png,val/depth_camera_rgb/0215_c2_research_platform.png,2,research_platform,research_platform,"research_platform:19.62,-0.00,2.00,2.87"
216,train,train/gated_range_view/0216_c2+4_research_platform+cargo_ship_far.png,train/depth_camera_rgb/0216_c2+4_research_platform+cargo_ship_far.png,2+4,research_platform+ship_far,research_platform+cargo_ship_far,"research_platform:33.78,-1.79,2.00,-1.75;cargo_ship_far:76.85,2.33,1.05,-1.77"
217,train,train/gated_range_view/0217_c0_moving_vessel.png,train/depth_camera_rgb/0217_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:24.33,4.30,0.42,-1.34"
218,train,train/gated_range_view/0218_c0+3_moving_vessel+small_fishing_boat.png,train/depth_camera_rgb/0218_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:29.45,-3.40,0.42,1.22;small_fishing_boat:21.13,2.67,0.34,3.42"
219,train,train/gated_range_view/0219_c1+5_service_boat+floating_container.png,train/depth_camera_rgb/0219_c1+5_service_boat+floating_container.png,1+5,service_boat+obstacle,service_boat+floating_container,"service_boat:25.68,-4.93,0.38,0.91;floating_container:22.61,0.96,0.28,2.85"
220,val,val/gated_range_view/0220_c0+2_moving_vessel+research_platform.png,val/depth_camera_rgb/0220_c0+2_moving_vessel+research_platform.png,0+2,moving_vessel+research_platform,moving_vessel+research_platform,"moving_vessel:11.43,-0.85,0.42,1.78;research_platform:24.68,1.74,2.00,0.21"
221,train,train/gated_range_view/0221_c1+5_service_boat+floating_container.png,train/depth_camera_rgb/0221_c1+5_service_boat+floating_container.png,1+5,service_boat+obstacle,service_boat+floating_container,"service_boat:12.48,-1.24,0.38,-0.85;floating_container:19.58,0.48,0.28,-0.75"
222,train,train/gated_range_view/0222_c0+3_moving_vessel+small_fishing_boat.png,train/depth_camera_rgb/0222_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:29.72,-4.98,0.42,2.79;small_fishing_boat:18.26,1.03,0.34,1.16"
223,train,train/gated_range_view/0223_c2+1_research_platform+service_boat.png,train/depth_camera_rgb/0223_c2+1_research_platform+service_boat.png,2+1,research_platform+service_boat,research_platform+service_boat,"research_platform:35.42,-1.98,2.00,3.18;service_boat:30.72,1.44,0.38,1.62"
224,train,train/gated_range_view/0224_c1_service_boat.png,train/depth_camera_rgb/0224_c1_service_boat.png,1,service_boat,service_boat,"service_boat:28.78,-2.28,0.38,1.87"
225,val,val/gated_range_view/0225_c2_research_platform.png,val/depth_camera_rgb/0225_c2_research_platform.png,2,research_platform,research_platform,"research_platform:36.02,0.39,2.00,1.44"
226,train,train/gated_range_view/0226_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0226_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:29.13,-1.36,0.38,0.46;moving_vessel:35.97,2.21,0.42,1.32"
227,train,train/gated_range_view/0227_c1+3_service_boat+small_fishing_boat.png,train/depth_camera_rgb/0227_c1+3_service_boat+small_fishing_boat.png,1+3,service_boat+fishing_boat,service_boat+small_fishing_boat,"service_boat:26.29,-3.41,0.38,-1.88;small_fishing_boat:40.42,2.86,0.34,0.47"
228,train,train/gated_range_view/0228_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0228_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:27.58,-2.54,0.38,0.61;moving_vessel:41.84,2.89,0.42,-2.69"
229,train,train/gated_range_view/0229_c1_service_boat.png,train/depth_camera_rgb/0229_c1_service_boat.png,1,service_boat,service_boat,"service_boat:18.20,2.21,0.38,2.58"
230,val,val/gated_range_view/0230_c1+5_service_boat+floating_container.png,val/depth_camera_rgb/0230_c1+5_service_boat+floating_container.png,1+5,service_boat+obstacle,service_boat+floating_container,"service_boat:24.67,-4.84,0.38,-1.90;floating_container:34.22,1.51,0.28,1.73"
231,train,train/gated_range_view/0231_c3+2_small_fishing_boat+research_platform.png,train/depth_camera_rgb/0231_c3+2_small_fishing_boat+research_platform.png,3+2,fishing_boat+research_platform,small_fishing_boat+research_platform,"small_fishing_boat:13.66,-1.77,0.34,-1.97;research_platform:38.10,1.48,2.00,-1.68"
232,train,train/gated_range_view/0232_c1_service_boat.png,train/depth_camera_rgb/0232_c1_service_boat.png,1,service_boat,service_boat,"service_boat:27.12,1.75,0.38,1.30"
233,train,train/gated_range_view/0233_c2_research_platform.png,train/depth_camera_rgb/0233_c2_research_platform.png,2,research_platform,research_platform,"research_platform:33.51,6.77,2.00,2.56"
234,train,train/gated_range_view/0234_c1_service_boat.png,train/depth_camera_rgb/0234_c1_service_boat.png,1,service_boat,service_boat,"service_boat:24.68,-1.89,0.38,0.27"
235,val,val/gated_range_view/0235_c1_service_boat.png,val/depth_camera_rgb/0235_c1_service_boat.png,1,service_boat,service_boat,"service_boat:13.31,-1.11,0.38,0.17"
236,train,train/gated_range_view/0236_c0_moving_vessel.png,train/depth_camera_rgb/0236_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:24.10,3.81,0.42,1.32"
237,train,train/gated_range_view/0237_c0_moving_vessel.png,train/depth_camera_rgb/0237_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:34.79,2.41,0.42,1.58"
238,train,train/gated_range_view/0238_c1_service_boat.png,train/depth_camera_rgb/0238_c1_service_boat.png,1,service_boat,service_boat,"service_boat:18.79,1.44,0.38,-1.39"
239,train,train/gated_range_view/0239_c3+0_small_fishing_boat+moving_vessel.png,train/depth_camera_rgb/0239_c3+0_small_fishing_boat+moving_vessel.png,3+0,fishing_boat+moving_vessel,small_fishing_boat+moving_vessel,"small_fishing_boat:29.32,-4.78,0.34,-0.66;moving_vessel:29.87,3.89,0.42,-0.19"
240,val,val/gated_range_view/0240_c2_research_platform.png,val/depth_camera_rgb/0240_c2_research_platform.png,2,research_platform,research_platform,"research_platform:28.39,-2.29,2.00,-1.31"
241,train,train/gated_range_view/0241_c2_research_platform.png,train/depth_camera_rgb/0241_c2_research_platform.png,2,research_platform,research_platform,"research_platform:28.36,-3.13,2.00,-1.48"
242,train,train/gated_range_view/0242_c1_service_boat.png,train/depth_camera_rgb/0242_c1_service_boat.png,1,service_boat,service_boat,"service_boat:30.64,-3.44,0.38,0.71"
243,train,train/gated_range_view/0243_c3+2_small_fishing_boat+research_platform.png,train/depth_camera_rgb/0243_c3+2_small_fishing_boat+research_platform.png,3+2,fishing_boat+research_platform,small_fishing_boat+research_platform,"small_fishing_boat:23.19,-5.08,0.34,1.00;research_platform:41.26,1.94,2.00,3.13"
244,train,train/gated_range_view/0244_c3_small_fishing_boat.png,train/depth_camera_rgb/0244_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:33.28,-6.42,0.34,-0.28"
245,val,val/gated_range_view/0245_c2_research_platform.png,val/depth_camera_rgb/0245_c2_research_platform.png,2,research_platform,research_platform,"research_platform:41.13,3.64,2.00,-1.40"
246,train,train/gated_range_view/0246_c3_survey_boat.png,train/depth_camera_rgb/0246_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:24.41,2.65,0.36,-0.95"
